"0805-X7R 10 мкФ 6,3В","",10u,"",6.3,0805,"","Керамический конденсатор",CAP,C0805,""
"0805-X7R 0,1 мкФ 50В","",0.1u,"",50,0805,"","Керамический конденсатор",CAP,C0805,""
"0805-NP0 12 пФ 50В","",12pF,"",50,0805,"","Керамический конденсатор",CAP,C0805,""
"1206-X7R 1мкФ 50В","",1uF,"",50,1206,"","Керамический конденсатор",CAP,C1206,""
"0805-X7R 22 нФ 50В","",22nF,"",50,0805,"","Керамический конденсатор",CAP,C0805,""
"1210-X7R 10 мкФ 50В","",10u,"",50,1210,"","Керамический конденсатор",CAP,C1210,""
"1206-X7R 22мкФ 10В","",22u,"",10,1206,"","Керамический конденсатор",CAP,C1206,""
"0805-X7R 0,22 мкФ 50В","",0.22u,"",50,0805,"","Керамический конденсатор",CAP,C0805,""
"0805-X7R 22 пФ 50В","",22pF,"",50,0805,"","Керамический конденсатор",CAP,C0805,""
TK1E102,"",1000u,20,25,D10L20,JAMICON,"Электролитический конденсатор",PCAP,D10L20H,""
TK1H470,"",47u,20,50,6D3L11,JAMICON,"Электролитический конденсатор",PCAP,6D3L11V,""
"X7R 0,33 мкФ 50В","",0.33u,20,50,4L23W2,"","Керамический конденсатор",CAP,4L23W2,""
"0805-NP0 56 пФ 50В","",56pF,"",50,0805,"Тайвань","Керамический конденсатор",CAP,C0805,""
