PLS-5,"",Connfly,"Вилка штыревая 2.54мм 1x5 прямая тип1",CONN5,PLS-5,""
4THS,"","","1 ряд, 4 отверстия на плате, шаг 2,54 мм",CONN4,4THS100,""
PLS-10,"",Connfly,"Вилка штыревая 2.54мм 1x10 прямая тип1",CONN10,"",""
5THS,"","","1 ряд, 5 отверстий на плате, шаг 2,54 мм",CONN5,"",""
1THS,"","","1 отверстие на плате",CONN1,1THS,""
2THS,"","","1 ряд, 2 отверстия на плате, шаг 2,54 мм",CONN2,2THS100,""
PLS-8,"",Connfly,"Вилка штыревая 2.54мм 1x8 прямая тип1",CONN8,PLS-8,""
PBS-8,"",Connfly,"Розетка штыревая 2ю54мм 1x8 прямая",CONN8,PBS-8,""
9THS,"","","1 ряд, 9 отверстий на плате, шаг 2,54 мм",CONN9,9THS100,""
DG142V-5.08-05P-14,"",Degson,"PCB Spring Terminal Block",CONN5X2,clamp5p5m08,""
