"0805 1кОм ±5%","",0805,1kOm,5,"","Резистор",RES,R0805,""
"0805 750кОм ±1%","",0805,750kOm,1,"","Резистор",RES,R0805,""
"0805 10 Ом ±5%","",0805,10,5,"","Резистор",RES,R0805,""
"0805 100 Ом ±5%","",0805,100,5,"","Резистор",RES,R0805,""
"1206 2,2 кОм ±5%","",1206,2.2kOm,5,"","Резистор",RES,R1206,""
"0805 10 кОм ±5%","",0805,10kOm,5,"","Резистор",RES,R0805,""
"0805 0 Ом","",0805,0,"","","Резистор",RES,R0805,""
"0805 121 Ом ±1%","",0805,121,1,"","Резистор",RES,R0805,""
"0805 680 Ом ±5%","",0805,680,5,"","Резистор",RES,R0805,""
"0805 820 Ом ±5%","",0805,820,5,"","Резистор",RES,R0805,""
"0805 51 Ом ±1%","",0805,51,1,"Тайвань","Резистор",RES,R0805,""
"0805 100 Ом ±1%","",0805,100,1,"Тайвань","Резистор",RES,R0805,""
"0805 1кОм ±1%","",0805,1kOm,1,"Тайвань","Резистор",RES,R0805,""
"0805 510 Ом ±1%","",0805,510,1,"Тайвань","Резистор",RES,R0805,""
"0805 6,8кОм ±1%","",0805,6.8kOm,1,"Тайвань","Резистор",RES,R0805,""
"0805 2кОм ±1%","",0805,2kOm,1,"Тайвань","Резистор",RES,R0805,""
"0805 22кОм ±1%","",0805,22kOm,1,"Тайвань","Резистор",RES,R0805,""
